model,prompt,n_pairs,reg_acc,reg_ci_lo,reg_ci_hi,flip_acc,flip_ci_lo,flip_ci_hi,both_correct,reg_only,flip_only,both_wrong,both_correct_pct,both_wrong_pct,concordance,concordance_given_reg_correct,concordance_given_reg_wrong,mcnemar_stat,mcnemar_p
base,,132,0.3181818181818182,0.2448292449661456,0.40181765932425756,0.38636363636363635,0.30763266081633867,0.47152165436516336,37,5,14,76,0.2803030303030303,0.5757575757575758,0.8560606060606061,0.8809523809523809,0.8444444444444444,3.3684210526315788,0.0664574200169311
embodiment-text,direct,132,0.6590909090909091,0.5747530900426678,0.7344308687032295,0.6439393939393939,0.5592437777880145,0.7204940896487498,59,28,26,19,0.44696969696969696,0.14393939393939395,0.5909090909090909,0.6781609195402298,0.4222222222222222,0.018518518518518517,0.8917558535067943
embodiment-text,cot,132,0.7121212121212122,0.6297465629981579,0.7824987153297053,0.7045454545454546,0.6218192864909716,0.7757029461823249,74,20,19,19,0.5606060606060606,0.14393939393939395,0.7045454545454546,0.7872340425531915,0.5,0.0,1.0
embodiment-vit-tokens,direct,132,0.5227272727272727,0.4380872301089555,0.6060819068547441,0.6060606060606061,0.5208382311130989,0.6852844080508326,40,29,40,23,0.30303030303030304,0.17424242424242425,0.4772727272727273,0.5797101449275363,0.36507936507936506,1.4492753623188406,0.2286442623410733
embodiment-vit-tokens,cot,132,0.5909090909090909,0.5056179912579944,0.671058556596804,0.5757575757575758,0.49047656518204785,0.6567538913636176,58,20,18,36,0.4393939393939394,0.2727272727272727,0.7121212121212122,0.7435897435897436,0.6666666666666666,0.02631578947368421,0.8711314915971582
embodiment-coco-tokens,direct,132,0.5757575757575758,0.49047656518204785,0.6567538913636176,0.5757575757575758,0.49047656518204785,0.6567538913636176,55,21,21,35,0.4166666666666667,0.26515151515151514,0.6818181818181818,0.7236842105263158,0.625,0.023809523809523808,0.8773705560641434
embodiment-coco-tokens,cot,132,0.6818181818181818,0.5981823406757425,0.7551707550338544,0.6060606060606061,0.5208382311130989,0.6852844080508326,64,26,16,26,0.48484848484848486,0.19696969696969696,0.6818181818181818,0.7111111111111111,0.6190476190476191,1.9285714285714286,0.16491482255329737
